Hijri TPQ,Hijri Date,Difference,Hijri TPQ 2,Hijri TPQ with 294 as 1,Difference
294,282,12,294,1,12
305,282,23,305,12,23
349,282,67,349,56,67
340,284,56,340,47,56
341,284,57,341,48,57
324,285,39,324,31,39
415,286,129,415,122,129
324,287,37,324,31,37
333,290,43,333,40,43
349,290,59,349,56,59
369,290,79,369,76,79
349,292,57,349,56,57
294,293,1,294,1,1
294,293,1,294,1,1
295,293,2,295,2,2
296,293,3,296,3,3
298,293,5,298,5,5
298,293,5,298,5,5
298,293,5,298,5,5
299,293,6,299,6,6
299,293,6,299,6,6
299,293,6,299,6,6
301,293,8,301,8,8
301,293,8,301,8,8
301,293,8,301,8,8
301,293,8,301,8,8
305,293,12,305,12,12
307,293,14,307,14,14
308,293,15,308,15,15
309,293,16,309,16,16
312,293,19,312,19,19
312,293,19,312,19,19
313,293,20,313,20,20
323,293,30,323,30,30
325,293,32,325,32,32
325,293,32,325,32,32
326,293,33,326,33,33
328,293,35,328,35,35
328,293,35,328,35,35
328,293,35,328,35,35
328,293,35,328,35,35
328,293,35,328,35,35
329,293,36,329,36,36
329,293,36,329,36,36
331,293,38,331,38,38
331,293,38,331,38,38
331,293,38,331,38,38
331,293,38,331,38,38
331,293,38,331,38,38
332,293,39,332,39,39
332,293,39,332,39,39
332,293,39,332,39,39
333,293,40,333,40,40
335,293,42,335,42,42
339,293,46,339,46,46
340,293,47,340,47,47
341,293,48,341,48,48
342,293,49,342,49,49
342,293,49,342,49,49
342,293,49,342,49,49
342,293,49,342,49,49
342,293,49,342,49,49
342,293,49,342,49,49
343,293,50,343,50,50
344,293,51,344,51,51
346,293,53,346,53,53
346,293,53,346,53,53
346,293,53,346,53,53
349,293,56,349,56,56
350,293,57,350,57,57
350,293,57,350,57,57
363,293,70,363,70,70
363,293,70,363,70,70
363,293,70,363,70,70
369,293,76,369,76,76
369,293,76,369,76,76
369,293,76,369,76,76
369,293,76,369,76,76
381,293,88,381,88,88
381,293,88,381,88,88
381,293,88,381,88,88
381,293,88,381,88,88
384,293,91,384,91,91
393,293,100,393,100,100
394,293,101,394,101,101
431,293,138,431,138,138
434,293,141,434,141,141
434,293,141,434,141,141
443,293,150,443,150,150
445,293,152,445,152,152
445,293,152,445,152,152
297,294,3,297,4,3
298,294,4,298,5,4
298,294,4,298,5,4
299,294,5,299,6,5
299,294,5,299,6,5
299,294,5,299,6,5
299,294,5,299,6,5
299,294,5,299,6,5
300,294,6,300,7,6
300,294,6,300,7,6
301,294,7,301,8,7
302,294,8,302,9,8
307,294,13,307,14,13
307,294,13,307,14,13
307,294,13,307,14,13
309,294,15,309,16,15
310,294,16,310,17,16
311,294,17,311,18,17
318,294,24,318,25,24
320,294,26,320,27,26
323,294,29,323,30,29
325,294,31,325,32,31
325,294,31,325,32,31
325,294,31,325,32,31
325,294,31,325,32,31
326,294,32,326,33,32
326,294,32,326,33,32
328,294,34,328,35,34
328,294,34,328,35,34
328,294,34,328,35,34
328,294,34,328,35,34
329,294,35,329,36,35
329,294,35,329,36,35
329,294,35,329,36,35
331,294,37,331,38,37
331,294,37,331,38,37
332,294,38,332,39,38
332,294,38,332,39,38
332,294,38,332,39,38
333,294,39,333,40,39
333,294,39,333,40,39
334,294,40,334,41,40
335,294,41,335,42,41
335,294,41,335,42,41
335,294,41,335,42,41
335,294,41,335,42,41
340,294,46,340,47,46
340,294,46,340,47,46
340,294,46,340,47,46
341,294,47,341,48,47
341,294,47,341,48,47
341,294,47,341,48,47
342,294,48,342,49,48
342,294,48,342,49,48
342,294,48,342,49,48
342,294,48,342,49,48
342,294,48,342,49,48
342,294,48,342,49,48
342,294,48,342,49,48
342,294,48,342,49,48
343,294,49,343,50,49
343,294,49,343,50,49
343,294,49,343,50,49
343,294,49,343,50,49
343,294,49,343,50,49
344,294,50,344,51,50
346,294,52,346,53,52
346,294,52,346,53,52
346,294,52,346,53,52
346,294,52,346,53,52
346,294,52,346,53,52
346,294,52,346,53,52
347,294,53,347,54,53
347,294,53,347,54,53
349,294,55,349,56,55
349,294,55,349,56,55
349,294,55,349,56,55
350,294,56,350,57,56
350,294,56,350,57,56
350,294,56,350,57,56
353,294,59,353,60,59
359,294,65,359,66,65
359,294,65,359,66,65
362,294,68,362,69,68
363,294,69,363,70,69
363,294,69,363,70,69
363,294,69,363,70,69
366,294,72,366,73,72
368,294,74,368,75,74
369,294,75,369,76,75
381,294,87,381,88,87
381,294,87,381,88,87
381,294,87,381,88,87
381,294,87,381,88,87
381,294,87,381,88,87
381,294,87,381,88,87
381,294,87,381,88,87
384,294,90,384,91,90
384,294,90,384,91,90
384,294,90,384,91,90
400,294,106,400,107,106
405,294,111,405,112,111
409,294,115,409,116,115
412,294,118,412,119,118
420,294,126,420,127,126
420,294,126,420,127,126
445,294,151,445,152,151
362,294,68,362,69,68
381,294,87,381,88,87
381,294,87,381,88,87
381,294,87,381,88,87
296,295,1,296,3,1
299,295,4,299,6,4
302,295,7,302,9,7
307,295,12,307,14,12
318,295,23,318,25,23
318,295,23,318,25,23
328,295,33,328,35,33
328,295,33,328,35,33
346,295,51,346,53,51
347,295,52,347,54,52
381,295,86,381,88,86
381,295,86,381,88,86
381,295,86,381,88,86
393,295,98,393,100,98
346,295,51,346,53,51
349,295,54,349,56,54
381,295,86,381,88,86
298,295,3,298,5,3
299,295,4,299,6,4
304,295,9,304,11,9
313,295,18,313,20,18
342,295,47,342,49,47
333,296,37,333,40,37
346,296,50,346,53,50
381,296,85,381,88,85
302,296,6,302,9,6
299,296,3,299,6,3
307,296,11,307,14,11
420,296,124,420,127,124
393,296,97,393,100,97
445,297,148,445,152,148
312,297,15,312,19,15
302,298,4,302,9,4
302,298,4,302,9,4
328,298,30,328,35,30
331,298,33,331,38,33
331,298,33,331,38,33
333,298,35,333,40,35
342,298,44,342,49,44
362,298,64,362,69,64
363,298,65,363,70,65
369,298,71,369,76,71
381,298,83,381,88,83
381,298,83,381,88,83
445,298,147,445,152,147
346,298,48,346,53,48
328,298,30,328,35,30
344,298,46,344,51,46
439,298,141,439,146,141
302,299,3,302,9,3
325,299,26,325,32,26
328,299,29,328,35,29
331,299,32,331,38,32
332,299,33,332,39,33
332,299,33,332,39,33
340,299,41,340,47,41
341,299,42,341,48,42
347,299,48,347,54,48
381,299,82,381,88,82
384,299,85,384,91,85
329,300,29,329,36,29
344,300,44,344,51,44
352,300,52,352,59,52
328,300,28,328,35,28
332,300,32,332,39,32
366,300,66,366,73,66
308,300,8,308,15,8
362,300,62,362,69,62
409,300,109,409,116,109
309,301,8,309,16,8
341,301,40,341,48,40
363,301,62,363,70,62
363,301,62,363,70,62
334,301,33,334,41,33
340,301,39,340,47,39
343,301,42,343,50,42
302,302,0,302,9,0
309,302,7,309,16,7
311,302,9,311,18,9
313,302,11,313,20,11
325,302,23,325,32,23
328,302,26,328,35,26
328,302,26,328,35,26
329,302,27,329,36,27
340,302,38,340,47,38
340,302,38,340,47,38
342,302,40,342,49,40
342,302,40,342,49,40
342,302,40,342,49,40
343,302,41,343,50,41
343,302,41,343,50,41
346,302,44,346,53,44
346,302,44,346,53,44
346,302,44,346,53,44
350,302,48,350,57,48
350,302,48,350,57,48
359,302,57,359,66,57
362,302,60,362,69,60
363,302,61,363,70,61
381,302,79,381,88,79
381,302,79,381,88,79
381,302,79,381,88,79
384,302,82,384,91,82
384,302,82,384,91,82
393,302,91,393,100,91
445,302,143,445,152,143
307,302,5,307,14,5
307,302,5,307,14,5
323,302,21,323,30,21
304,303,1,304,11,1
328,303,25,328,35,25
328,303,25,328,35,25
329,303,26,329,36,26
342,303,39,342,49,39
343,303,40,343,50,40
366,303,63,366,73,63
328,304,24,328,35,24
339,304,35,339,46,35
381,304,77,381,88,77
381,304,77,381,88,77
415,304,111,415,122,111
328,305,23,328,35,23
328,305,23,328,35,23
366,305,61,366,73,61
381,305,76,381,88,76
320,306,14,320,27,14
323,306,17,323,30,17
324,306,18,324,31,18
325,306,19,325,32,19
325,306,19,325,32,19
328,306,22,328,35,22
328,306,22,328,35,22
328,306,22,328,35,22
328,306,22,328,35,22
329,306,23,329,36,23
331,306,25,331,38,25
332,306,26,332,39,26
346,306,40,346,53,40
346,306,40,346,53,40
354,306,48,354,61,48
359,306,53,359,66,53
359,306,53,359,66,53
361,306,55,361,68,55
362,306,56,362,69,56
362,306,56,362,69,56
363,306,57,363,70,57
368,306,62,368,75,62
370,306,64,370,77,64
373,306,67,373,80,67
445,306,139,445,152,139
483,306,177,483,190,177
353,307,46,353,60,46
353,307,46,353,60,46
325,307,18,325,32,18
328,307,21,328,35,21
329,307,22,329,36,22
329,307,22,329,36,22
332,307,25,332,39,25
332,307,25,332,39,25
339,307,32,339,46,32
340,307,33,340,47,33
341,307,34,341,48,34
342,307,35,342,49,35
343,307,36,343,50,36
345,307,38,345,52,38
346,307,39,346,53,39
369,307,62,369,76,62
418,307,111,418,125,111
430,307,123,430,137,123
333,308,25,333,40,25
333,308,25,333,40,25
325,308,17,325,32,17
328,308,20,328,35,20
332,308,24,332,39,24
338,308,30,338,45,30
340,308,32,340,47,32
342,308,34,342,49,34
346,308,38,346,53,38
352,308,44,352,59,44
359,308,51,359,66,51
373,308,65,373,80,65
381,308,73,381,88,73
420,308,112,420,127,112
445,308,137,445,152,137
323,309,14,323,30,14
346,309,37,346,53,37
346,309,37,346,53,37
346,309,37,346,53,37
367,309,58,367,74,58
381,309,72,381,88,72
381,309,72,381,88,72
325,309,16,325,32,16
328,309,19,328,35,19
328,309,19,328,35,19
328,309,19,328,35,19
331,309,22,331,38,22
333,309,24,333,40,24
333,309,24,333,40,24
339,309,30,339,46,30
340,309,31,340,47,31
340,309,31,340,47,31
340,309,31,340,47,31
341,309,32,341,48,32
342,309,33,342,49,33
345,309,36,345,52,36
346,309,37,346,53,37
349,309,40,349,56,40
359,309,50,359,66,50
362,309,53,362,69,53
363,309,54,363,70,54
366,309,57,366,73,57
381,309,72,381,88,72
445,309,136,445,152,136
483,309,174,483,190,174
387,309,78,387,94,78
316,310,6,316,23,6
328,310,18,328,35,18
331,310,21,331,38,21
331,310,21,331,38,21
331,310,21,331,38,21
333,310,23,333,40,23
333,310,23,333,40,23
335,310,25,335,42,25
335,310,25,335,42,25
339,310,29,339,46,29
343,310,33,343,50,33
346,310,36,346,53,36
366,310,56,366,73,56
366,310,56,366,73,56
381,310,71,381,88,71
382,310,72,382,89,72
393,310,83,393,100,83
420,310,110,420,127,110
328,312,16,328,35,16
328,312,16,328,35,16
346,312,34,346,53,34
350,312,38,350,57,38
350,312,38,350,57,38
366,312,54,366,73,54
412,312,100,412,119,100
324,313,11,324,31,11
329,313,16,329,36,16
339,313,26,339,46,26
346,313,33,346,53,33
346,313,33,346,53,33
350,313,37,350,57,37
350,313,37,350,57,37
361,313,48,361,68,48
366,313,53,366,73,53
381,313,68,381,88,68
384,313,71,384,91,71
477,313,164,477,184,164
328,314,14,328,35,14
333,314,19,333,40,19
342,314,28,342,49,28
344,314,30,344,51,30
347,314,33,347,54,33
350,314,36,350,57,36
363,314,49,363,70,49
366,314,52,366,73,52
373,314,59,373,80,59
381,314,67,381,88,67
381,314,67,381,88,67
440,314,126,440,147,126
343,315,28,343,50,28
409,315,94,409,116,94
328,316,12,328,35,12
328,316,12,328,35,12
328,316,12,328,35,12
328,316,12,328,35,12
328,316,12,328,35,12
328,316,12,328,35,12
328,316,12,328,35,12
342,316,26,342,49,26
328,317,11,328,35,11
328,317,11,328,35,11
329,317,12,329,36,12
342,317,25,342,49,25
361,317,44,361,68,44
328,318,10,328,35,10
330,318,12,330,37,12
339,318,21,339,46,21
383,318,65,383,90,65
328,319,9,328,35,9
342,319,23,342,49,23
328,319,9,328,35,9
328,319,9,328,35,9
328,319,9,328,35,9
328,319,9,328,35,9
328,319,9,328,35,9
328,319,9,328,35,9
328,319,9,328,35,9
342,319,23,342,49,23
438,319,119,438,145,119
328,320,8,328,35,8
328,320,8,328,35,8
328,320,8,328,35,8
333,320,13,333,40,13
336,320,16,336,43,16
342,320,22,342,49,22
342,320,22,342,49,22
342,320,22,342,49,22
346,320,26,346,53,26
347,320,27,347,54,27
347,320,27,347,54,27
352,320,32,352,59,32
354,320,34,354,61,34
363,320,43,363,70,43
381,320,61,381,88,61
404,320,84,404,111,84
431,320,111,431,138,111
320,320,0,320,27,0
328,321,7,328,35,7
328,321,7,328,35,7
328,321,7,328,35,7
328,321,7,328,35,7
328,321,7,328,35,7
328,321,7,328,35,7
328,321,7,328,35,7
329,321,8,329,36,8
329,321,8,329,36,8
331,321,10,331,38,10
340,321,19,340,47,19
340,321,19,340,47,19
342,321,21,342,49,21
342,321,21,342,49,21
343,321,22,343,50,22
346,321,25,346,53,25
346,321,25,346,53,25
347,321,26,347,54,26
352,321,31,352,59,31
363,321,42,363,70,42
363,321,42,363,70,42
365,321,44,365,72,44
366,321,45,366,73,45
373,321,52,373,80,52
381,321,60,381,88,60
405,321,84,405,112,84
420,321,99,420,127,99
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
328,322,6,328,35,6
331,322,9,331,38,9
342,322,20,342,49,20
343,322,21,343,50,21
343,322,21,343,50,21
343,322,21,343,50,21
346,322,24,346,53,24
350,322,28,350,57,28
358,322,36,358,65,36
366,322,44,366,73,44
373,322,51,373,80,51
420,322,98,420,127,98
438,322,116,438,145,116
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
328,323,5,328,35,5
332,323,9,332,39,9
334,323,11,334,41,11
336,323,13,336,43,13
340,323,17,340,47,17
340,323,17,340,47,17
341,323,18,341,48,18
346,323,23,346,53,23
346,323,23,346,53,23
346,323,23,346,53,23
347,323,24,347,54,24
352,323,29,352,59,29
366,323,43,366,73,43
368,323,45,368,75,45
381,323,58,381,88,58
381,323,58,381,88,58
381,323,58,381,88,58
381,323,58,381,88,58
381,323,58,381,88,58
434,323,111,434,141,111
434,323,111,434,141,111
451,323,128,451,158,128
485,323,162,485,192,162
495,323,172,495,202,172
324,324,0,324,31,0
324,324,0,324,31,0
326,324,2,326,33,2
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
328,324,4,328,35,4
329,324,5,329,36,5
331,324,7,331,38,7
331,324,7,331,38,7
332,324,8,332,39,8
333,324,9,333,40,9
334,324,10,334,41,10
334,324,10,334,41,10
336,324,12,336,43,12
337,324,13,337,44,13
337,324,13,337,44,13
339,324,15,339,46,15
339,324,15,339,46,15
340,324,16,340,47,16
340,324,16,340,47,16
340,324,16,340,47,16
340,324,16,340,47,16
341,324,17,341,48,17
341,324,17,341,48,17
342,324,18,342,49,18
343,324,19,343,50,19
343,324,19,343,50,19
343,324,19,343,50,19
343,324,19,343,50,19
343,324,19,343,50,19
346,324,22,346,53,22
346,324,22,346,53,22
346,324,22,346,53,22
346,324,22,346,53,22
346,324,22,346,53,22
346,324,22,346,53,22
346,324,22,346,53,22
346,324,22,346,53,22
347,324,23,347,54,23
347,324,23,347,54,23
349,324,25,349,56,25
349,324,25,349,56,25
350,324,26,350,57,26
350,324,26,350,57,26
350,324,26,350,57,26
350,324,26,350,57,26
350,324,26,350,57,26
352,324,28,352,59,28
353,324,29,353,60,29
356,324,32,356,63,32
357,324,33,357,64,33
359,324,35,359,66,35
362,324,38,362,69,38
362,324,38,362,69,38
363,324,39,363,70,39
366,324,42,366,73,42
366,324,42,366,73,42
367,324,43,367,74,43
367,324,43,367,74,43
368,324,44,368,75,44
373,324,49,373,80,49
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
381,324,57,381,88,57
384,324,60,384,91,60
384,324,60,384,91,60
393,324,69,393,100,69
408,324,84,408,115,84
409,324,85,409,116,85
430,324,106,430,137,106
431,324,107,431,138,107
432,324,108,432,139,108
432,324,108,432,139,108
434,324,110,434,141,110
434,324,110,434,141,110
445,324,121,445,152,121
445,324,121,445,152,121
449,324,125,449,156,125
458,324,134,458,165,134
482,324,158,482,189,158
414,324,90,414,121,90
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
328,325,3,328,35,3
331,325,6,331,38,6
336,325,11,336,43,11
340,325,15,340,47,15
342,325,17,342,49,17
343,325,18,343,50,18
343,325,18,343,50,18
344,325,19,344,51,19
353,325,28,353,60,28
359,325,34,359,66,34
362,325,37,362,69,37
363,325,38,363,70,38
381,325,56,381,88,56
381,325,56,381,88,56
445,325,120,445,152,120
328,326,2,328,35,2
342,326,16,342,49,16
352,326,26,352,59,26
353,326,27,353,60,27
381,326,55,381,88,55
381,326,55,381,88,55
342,327,15,342,49,15
349,327,22,349,56,22
328,328,0,328,35,0
328,328,0,328,35,0
328,328,0,328,35,0
328,328,0,328,35,0
329,328,1,329,36,1
336,328,8,336,43,8
340,328,12,340,47,12
340,328,12,340,47,12
342,328,14,342,49,14
342,328,14,342,49,14
344,328,16,344,51,16
344,328,16,344,51,16
347,328,19,347,54,19
350,328,22,350,57,22
350,328,22,350,57,22
353,328,25,353,60,25
359,328,31,359,66,31
362,328,34,362,69,34
362,328,34,362,69,34
363,328,35,363,70,35
366,328,38,366,73,38
366,328,38,366,73,38
381,328,53,381,88,53
381,328,53,381,88,53
381,328,53,381,88,53
381,328,53,381,88,53
397,328,69,397,104,69
434,328,106,434,141,106
445,328,117,445,152,117
342,329,13,342,49,13
343,329,14,343,50,14
384,329,55,384,91,55
400,329,71,400,107,71
430,329,101,430,137,101
339,330,9,339,46,9
340,330,10,340,47,10
342,330,12,342,49,12
342,330,12,342,49,12
366,330,36,366,73,36
381,330,51,381,88,51
384,330,54,384,91,54
346,331,15,346,53,15
365,331,34,365,72,34
357,331,26,357,64,26
336,332,4,336,43,4
342,332,10,342,49,10
381,332,49,381,88,49
461,332,129,461,168,129
350,333,17,350,57,17
363,333,30,363,70,30
366,333,33,366,73,33
366,333,33,366,73,33
458,335,123,458,165,123
468,335,133,468,175,133
342,335,7,342,49,7
373,335,38,373,80,38
342,336,6,342,49,6
393,336,57,393,100,57
342,337,5,342,49,5
346,338,8,346,53,8
386,338,48,386,93,48
386,338,48,386,93,48
342,339,3,342,49,3
343,339,4,343,50,4
343,339,4,343,50,4
361,339,22,361,68,22
362,339,23,362,69,23
363,339,24,363,70,24
431,339,92,431,138,92
341,340,1,341,48,1
347,340,7,347,54,7
361,340,21,361,68,21
366,340,26,366,73,26
368,340,28,368,75,28
341,341,0,341,48,0
341,341,0,341,48,0
342,341,1,342,49,1
345,341,4,345,52,4
350,341,9,350,57,9
355,341,14,355,62,14
361,341,20,361,68,20
362,341,21,362,69,21
369,341,28,369,76,28
373,341,32,373,80,32
373,341,32,373,80,32
373,341,32,373,80,32
396,341,55,396,103,55
342,342,0,342,49,0
346,342,4,346,53,4
344,343,1,344,51,1
346,343,3,346,53,3
363,343,20,363,70,20
415,350,65,415,122,65
415,352,63,415,122,63
406,354,52,406,113,52
374,359,15,374,81,15
374,359,15,374,81,15
376,367,9,376,83,9
399,370,29,399,106,29
399,370,29,399,106,29
379,371,8,379,86,8
379,371,8,379,86,8
399,372,27,399,106,27
399,372,27,399,106,27
399,373,26,399,106,26
427,373,54,427,134,54
374,374,0,374,81,0
378,374,4,378,85,4
399,374,25,399,106,25
399,374,25,399,106,25
399,374,25,399,106,25
427,374,53,427,134,53
427,374,53,427,134,53
399,375,24,399,106,24
461,375,86,461,168,86
468,375,93,468,175,93
406,375,31,406,113,31
376,376,0,376,83,0
376,376,0,376,83,0
378,376,2,378,85,2
399,376,23,399,106,23
384,376,8,384,91,8
399,377,22,399,106,22
399,377,22,399,106,22
399,377,22,399,106,22
399,377,22,399,106,22
399,377,22,399,106,22
399,377,22,399,106,22
399,377,22,399,106,22
399,379,20,399,106,20
384,379,5,384,91,5
399,380,19,399,106,19
389,381,8,389,96,8
399,381,18,399,106,18
399,384,15,399,106,15
399,384,15,399,106,15
399,384,15,399,106,15
399,385,14,399,106,14
